job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_left_trim_pred,TRUE,1248,1098,295,1176,n/a,53,n/a,n/a,0.03,0.01,n/a,n/a,0.08,0.03,n/a,n/a,0.01,0.01,0.10
byte_cursor_read,TRUE,1466,1104,237,990,4,43,n/a,n/a,0.02,0.01,n/a,n/a,0.21,0.16,n/a,n/a,0.01,0.01,0.22
byte_cursor_read_and_fill_buffer,TRUE,2186,1578,424,1676,4,85,n/a,n/a,0.03,0.02,n/a,n/a,0.30,0.23,n/a,n/a,0.01,0.02,0.32
byte_cursor_read_be16,TRUE,1431,1052,200,859,2,45,n/a,n/a,0.02,0.01,n/a,n/a,0.08,0.03,n/a,n/a,0.01,0.01,0.10
byte_cursor_read_be32,TRUE,1432,1083,200,884,2,45,n/a,n/a,0.02,0.01,n/a,n/a,0.09,0.04,n/a,n/a,0.01,0.01,0.11
byte_cursor_read_be64,TRUE,1454,1090,200,935,2,45,n/a,n/a,0.02,0.01,n/a,n/a,0.15,0.10,n/a,n/a,0.01,0.02,0.17
byte_cursor_read_u8,TRUE,1372,1038,197,824,2,39,n/a,n/a,0.04,0.02,n/a,n/a,0.19,0.09,n/a,n/a,0.01,0.02,0.21
byte_cursor_right_trim_pred,TRUE,1247,1066,305,1235,n/a,53,n/a,n/a,0.05,0.02,n/a,n/a,0.15,0.05,n/a,n/a,0.01,0.01,0.17
byte_cursor_satisfies_pred,TRUE,1085,995,215,904,1,42,n/a,n/a,0.03,0.01,n/a,n/a,0.08,0.02,n/a,n/a,0.01,0.01,0.09
byte_cursor_trim_pred,TRUE,1335,1327,425,1748,10,54,n/a,n/a,0.08,0.03,n/a,n/a,0.39,0.23,n/a,n/a,0.01,0.03,0.43
hash_ptr,TRUE,2144,512,23,95,n/a,6,n/a,n/a,0.01,0.01,n/a,n/a,0.02,0.01,n/a,n/a,n/a,0.01,0.03
hash_string,TRUE,2572,1255,216,909,24,12,n/a,n/a,0.04,0.01,n/a,n/a,0.12,0.04,n/a,n/a,n/a,0.03,0.14
hash_array_ignore_case,TRUE,558,675,107,439,8,3,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.02,n/a,n/a,0.01,0.01,0.05
hash_byte_cursor_ptr,TRUE,2754,1513,410,1522,n/a,80,n/a,n/a,0.03,0.01,n/a,n/a,0.09,0.03,n/a,n/a,0.01,0.01,0.12
hash_byte_cursor_ptr_ignore_case,TRUE,901,863,169,640,n/a,32,n/a,n/a,0.02,0.01,n/a,n/a,0.06,0.02,n/a,n/a,0.01,0.01,0.08
hash_c_string,TRUE,3289,1996,481,2040,56,10,n/a,n/a,0.07,0.02,n/a,n/a,0.41,0.28,n/a,n/a,n/a,0.03,0.43
hash_callback_string_eq,TRUE,1235,1653,560,3666,36,41,n/a,n/a,0.17,0.04,n/a,n/a,5.57,5.31,n/a,n/a,0.01,0.04,5.60
hash_callback_c_str_eq,TRUE,1868,2442,714,3401,n/a,84,n/a,n/a,0.02,0.01,n/a,n/a,4.41,4.34,n/a,n/a,0.01,0.03,4.44
hash_callback_string_destroy,TRUE,754,717,42,248,1,7,n/a,n/a,0.01,0.01,n/a,n/a,0.06,0.03,n/a,n/a,n/a,0.01,0.06
hash_iter_begin,TRUE,2924,2610,972,4081,34,138,n/a,n/a,0.64,0.13,n/a,n/a,1.30,0.44,n/a,n/a,0.01,0.05,1.39
hash_iter_begin_done,TRUE,3122,3731,1547,6066,66,178,n/a,n/a,0.63,0.16,n/a,n/a,1.39,0.49,n/a,n/a,0.01,0.05,1.49
hash_iter_next,TRUE,3413,2538,857,3476,15,170,n/a,n/a,0.31,0.14,n/a,n/a,1.28,0.74,n/a,n/a,0.01,0.05,1.34
hash_iter_done,TRUE,3252,2353,768,2995,6,167,n/a,n/a,0.24,0.12,n/a,n/a,0.52,0.09,n/a,n/a,0.01,0.04,0.58
hash_iter_delete,TRUE,3067,2462,726,3744,11,143,n/a,n/a,0.50,0.16,n/a,n/a,2.54,1.69,n/a,n/a,0.01,0.14,2.60
hash_table_eq,TRUE,3783,15435,8027,30826,592,621,n/a,n/a,6.18,2.74,n/a,n/a,18.68,8.68,n/a,n/a,0.01,0.26,19.31
hash_table_get_entry_count,TRUE,1923,1479,315,1404,n/a,72,n/a,n/a,0.05,0.03,n/a,n/a,0.23,0.11,n/a,n/a,0.01,0.03,0.26
hash_table_move,TRUE,1806,1376,304,1369,n/a,69,n/a,n/a,0.05,0.03,n/a,n/a,0.21,0.09,n/a,n/a,0.01,0.03,0.24
hash_table_swap,TRUE,2852,2075,601,2811,n/a,138,n/a,n/a,0.13,0.09,n/a,n/a,0.75,0.42,n/a,n/a,0.01,0.08,0.79
hash_table_clean_up,TRUE,1724,1846,863,3299,41,122,n/a,n/a,0.51,0.14,n/a,n/a,1.03,0.27,n/a,n/a,0.01,0.06,1.08
hash_table_clear,TRUE,1978,2320,956,3579,41,145,n/a,n/a,0.29,0.11,n/a,n/a,0.75,0.27,n/a,n/a,0.01,0.04,0.79
hash_table_create,TRUE,3580,4087,1385,6859,75,157,n/a,n/a,0.52,0.19,n/a,n/a,10.76,9.79,n/a,n/a,0.01,0.15,10.84
hash_table_foreach,TRUE,2234,4968,1787,7370,n/a,379,n/a,n/a,0.86,0.33,n/a,n/a,6.82,2.54,n/a,n/a,0.01,2.83,6.94
hash_table_find,TRUE,2704,3409,1266,4965,71,145,n/a,n/a,0.52,0.17,n/a,n/a,1.73,0.93,n/a,n/a,0.01,0.05,1.81
hash_table_init_bounded,TRUE,1756,1375,209,1745,27,18,n/a,n/a,0.04,0.02,n/a,n/a,1.38,1.23,n/a,n/a,0.01,0.06,1.40
hash_table_init_unbounded,TRUE,1655,1296,192,1543,24,18,n/a,n/a,0.05,0.02,n/a,n/a,0.18,0.06,n/a,n/a,0.01,0.05,0.20
hash_table_put,TRUE,3444,4016,1319,6391,78,140,n/a,n/a,0.58,0.20,n/a,n/a,5.69,4.68,n/a,n/a,0.01,0.12,5.77
hash_table_remove,TRUE,2791,3070,990,4980,50,125,n/a,n/a,0.39,0.13,n/a,n/a,5.65,4.90,n/a,n/a,0.01,0.16,5.70
linked_list_back,TRUE,3753,2278,749,3215,6,191,n/a,n/a,0.17,0.12,n/a,n/a,1.15,0.77,n/a,n/a,0.01,0.06,1.20
linked_list_begin,TRUE,3723,2249,745,3192,6,190,n/a,n/a,0.18,0.13,n/a,n/a,1.08,0.67,n/a,n/a,0.01,0.06,1.12
linked_list_end,TRUE,3707,2247,742,3184,6,189,n/a,n/a,0.20,0.13,n/a,n/a,1.15,0.71,n/a,n/a,0.01,0.06,1.20
linked_list_front,TRUE,3978,2386,815,3464,10,199,n/a,n/a,0.39,0.16,n/a,n/a,1.61,0.92,n/a,n/a,0.01,0.07,1.69
linked_list_init,TRUE,551,398,44,172,n/a,12,n/a,n/a,0.01,0.01,n/a,n/a,0.05,0.02,n/a,n/a,0.01,0.01,0.07
